group,animal,trial,outcome,shadowON-abs,shadowOFF-abs,beam-break-rel
crh,m8,1,attempt,242.2953797,250.1953797,6.859
crh,m8,2,attempt,307.2634251,315.1634251,4.623
crh,m8,3,escape,386.3462539,394.2462539,4.496
crh,m8,4,escape,515.0810865,522.9810865,3.768
crh,m8,5,attempt,598.6352651,606.5352651,3.614
crh,m8,6,attempt,660.833743,668.733743,
crh,m7,1,escape,300.2517289,308.1517289,3.891
crh,m7,2,escape,364.3846604,372.2846604,3.897
crh,m7,3,escape,471.0281824,478.9281824,3.657
crh,m7,4,escape,588.7498174,596.6498174,0.5
crh,m7,5,escape,762.0955923,769.9955923,0.293
crh,m7,6,escape,945.3516069,953.2516069,
crh,m6,1,freeze,258.9,266.8,
crh,m6,2,attempt,325.35,333.25,3.201
crh,m6,3,escape,403.47,411.37,4.627
crh,m6,4,attempt,467.0331167,474.9331167,3.716
crh,m6,5,escape,538.8086478,546.7086478,1.75
crh,m6,6,escape,608.6488089,616.5488089,
crh,m5,1,escape,286.5408018,294.4408018,4.992
crh,m5,2,escape,394.9540119,402.8540119,3.948
crh,m5,3,escape,467.7633761,475.6633761,4.465
crh,m5,4,escape,549.4820438,557.3820438,3.761
crh,m5,5,escape,617.986913,625.886913,1.144
crh,m5,6,escape,690.9964863,698.8964863,
crh,m4,1,freeze,265.0103561,272.9103561,
crh,m4,2,escape,340.2200324,348.1200324,4.681
crh,m4,3,escape,624.875644,632.775644,3.881
crh,m4,4,escape,888.2429799,896.1429799,4.798
crh,m4,5,escape,1476.406673,1484.306673,4.411
crh,m3,1,escape,270.2495087,278.1495087,3.538
crh,m3,2,escape,347.4613565,355.3613565,3.566
crh,m3,3,escape,454.3033343,462.2033343,3.937
crh,m3,4,escape,682.3685805,690.2685805,3.771
crh,m2,1,freeze,215.2673036,223.1673036,4.3
crh,m2,2,attempt,293.0822187,300.9822187,4.181
crh,m2,3,escape,384.4113021,392.3113021,5.268
crh,m2,4,attempt,478.6434292,486.5434292,2.208
crh,m2,5,escape,561.8306433,569.7306433,4.607
crh,m2,6,escape,644.8843841,652.7843841,
crh,m1,1,freeze,236.2211082,244.1211082,
crh,m1,2,freeze,299.4203126,307.3203126,
crh,m1,3,escape,406.5319524,414.4319524,6.465
crh,m1,4,escape,481.0429468,488.9429468,4.431
crh,m1,5,escape,663.2328389,671.1328389,4.24
crh,m1,6,escape,752.4258026,760.3258026,
arch,m1567,1,attempt,314.3017032,322.2017032,6.543
arch,m1567,2,attempt,423.0814829,430.9814829,4.251
arch,m1567,3,attempt,492.8874029,500.7874029,7.663
arch,m1567,4,attempt,619.5524469,627.4524469,5.802
arch,m1567,5,attempt,692.1612815,700.0612815,5.886
arch,m1608,1,attempt,227.3455752,235.2455752,4.686
arch,m1608,2,attempt,311.9005096,319.8005096,2.844
arch,m1608,3,attempt,395.854817,403.754817,3.846
arch,m1608,4,attempt,510.0740516,517.9740516,4.357
arch,m1608,5,attempt,600.8020969,608.7020969,3.076
arch,m1591,1,attempt,258.1463552,266.0463552,7.157
arch,m1591,2,attempt,322.5140234,330.4140234,3.124
arch,m1591,3,freeze,384.8128501,392.7128501,
arch,m1591,4,attempt,479.2788267,487.1788267,2.639
arch,m1591,5,no response,542.1782848,550.0782848,
arch,m1606,1,attempt,267.9886444,275.8886444,7.243
arch,m1606,2,attempt,332.0556736,339.9556736,7.212
arch,m1606,3,freeze,417.1446967,425.0446967,
arch,m1606,4,attempt,513.8458688,521.7458688,2.72
arch,m1606,5,attempt,610.8473552,618.7473552,2.158
arch,m1605,1,freeze,271.790917,279.690917,
arch,m1605,2,freeze,357.2131012,365.1131012,
arch,m1605,3,attempt,454.2807315,462.1807315,6.625
arch,m1605,4,attempt,587.0521654,594.9521654,5.265
arch,m1605,5,no response,690.1927792,698.0927792,
arch,m1568,1,attempt,281.235935,289.135935,3.94
arch,m1568,2,escape,365.5908853,373.4908853,5.321
arch,m1568,3,attempt,454.4171818,462.3171818,2.002
arch,m1568,4,attempt,524.7574646,532.6574646,1.406
arch,m1568,5,escape,609.9799895,617.8799895,4.335
arch,m1607,1,freeze,293.3445551,301.2445551,
arch,m1607,2,escape,365.9529015,373.8529015,5.821
arch,m1607,3,escape,434.2901688,442.1901688,2.625
arch,m1607,4,attempt,566.4266816,574.3266816,7.834
arch,m1607,5,freeze,814.0825398,821.9825398,
arch,m1590,1,attempt,332.3519785,340.2519785,6.952
arch,m1590,2,attempt,447.4710651,455.3710651,4.814
arch,m1590,3,attempt,588.5503399,596.4503399,4.591
arch,m1590,4,no response,664.7958799,672.6958799,
arch,m1590,5,freeze,725.7255761,733.6255761,
arch,m1593,1,attempt,318.8347202,326.7347202,7.007
arch,m1593,2,attempt,675.8671453,683.7671453,5.349
arch,m1593,3,attempt,767.8280204,775.7280204,7.725
arch,m1593,4,freeze,833.8289677,841.7289677,
arch,m1593,5,no response,1101.636654,1109.536654,
arch,m1569,1,no response,247.234322,255.134322,
arch,m1569,2,attempt,323.5143456,331.4143456,5.973
arch,m1569,3,attempt,384.6117748,392.5117748,5.378
arch,m1569,4,freeze,494.0932959,501.9932959,
arch,m1569,5,attempt,563.4994416,571.3994416,3.398
arch,m1570,1,freeze,283.9355332,291.8355332,
arch,m1570,2,attempt,424.1807591,432.0807591,2.181
arch,m1570,3,freeze,563.5917879,571.4917879,
arch,m1570,4,attempt,658.7903673,666.6903673,7.599
arch,m1570,5,freeze,727.1945342,735.0945342,
